workload,offN,onN,offMedianSeconds,onMedianSeconds,elapsedOverheadPercent,bootstrap95LowPercent,bootstrap95HighPercent,offPostVsPrePercent
cpuid-leaf0,14,7,0.033320550000000004,0.3429933,929.374665184098,903.0042566885594,954.2080511376608,-3.4655720074400653
disk-direct-read-64MiB,14,7,0.032526650000000004,0.031911,-1.8927556326888917,-8.420865832326319,1.6983826342369834,1.83122030736238
disk-direct-write-64MiB,14,7,0.036916649999999995,0.0337552,-8.563751044582856,-21.303373549768658,12.345570217580404,-5.918033226871355
integer-xorshift,14,7,0.12333615,0.1255545,1.7986210855454932,0.7031952673227426,2.864571648148484,-0.03218327442523483
memcpy-32MiB,14,7,0.15945284999999998,0.1577976,-1.0380811631776843,-8.77005643661276,9.645199224089485,-6.737757093584296
pointer-chase-64MiB,14,7,0.7355973499999999,0.7215713,-1.9067564612623933,-2.54389917193526,0.3657173346820919,-0.8303892048998729
tcp-loopback-64MiB,14,7,0.023105300000000002,0.021816,-5.580104997554692,-13.145084748524393,7.413279827268449,-12.855232633071278
tcp-loopback-rtt-1B,14,7,0.02374625,0.0327596,37.95694056956363,32.056642449240556,47.238795102916,-0.7527700599203269
