workload,offN,onN,offMedianSeconds,onMedianSeconds,elapsedOverheadPercent,bootstrap95LowPercent,bootstrap95HighPercent,offPostVsPrePercent
cpuid-leaf0,14,7,0.033783549999999996,0.3480576,930.2576253827679,908.4284656830508,1017.002425005857,-3.2197365670081357
disk-direct-read-64MiB,14,7,0.032602400000000004,0.0347314,6.530194096140152,-0.10893677102893351,9.823114701909796,0.23348500142668094
disk-direct-write-64MiB,14,7,0.044447150000000005,0.039695,-10.691686643575583,-26.547428949740702,31.003795087587037,-8.20871854065308
integer-xorshift,14,7,0.1233264,0.1280318,3.815403676747242,-0.374798940822485,6.817699715752412,0.15385664066684956
memcpy-32MiB,14,7,0.1535354,0.1550087,0.9595832622313782,-9.422630753120787,33.54958938512971,5.413964681650807
pointer-chase-64MiB,14,7,0.7399983,0.767671,3.739562644941219,-2.5702075977773964,10.06956101660168,-1.180068417239588
tcp-loopback-64MiB,14,7,0.0235714,0.0243186,3.1699432362948254,-1.6225951562837126,18.562505001435703,-14.245223511445316
tcp-loopback-rtt-1B,14,7,0.024841250000000002,0.0339964,36.854626880692386,32.739899915044624,40.599594641397,-0.010868427620291943
