workload,offN,onN,offMedianSeconds,onMedianSeconds,elapsedOverheadPercent,bootstrap95LowPercent,bootstrap95HighPercent,offPostVsPrePercent
cpuid-leaf0,14,7,0.03313025,0.2998137,804.95453550758,787.7345986877733,822.0534620121447,-3.147923937041519
disk-direct-read-64MiB,14,7,0.03304555,0.0341237,3.2626178108701387,-3.4902764180475443,10.1164210444453,0.29851831872058643
disk-direct-write-64MiB,14,7,0.03904105,0.0368748,-5.548646872970886,-22.378575947142743,11.253978425152656,-1.6453744325528596
integer-xorshift,14,7,0.12330775,0.1220663,-1.0067899219635357,-5.185523173558559,0.5763105823377579,-4.885493086205717
memcpy-32MiB,14,7,0.15966225,0.1576927,-1.233572744966338,-8.591255366453554,13.964243786707108,-5.714783157641589
pointer-chase-64MiB,14,7,0.7398603,0.734764,-0.6888192270892324,-1.7479970573227033,2.7572016349224793,-0.8924875855771175
tcp-loopback-64MiB,14,7,0.024508349999999998,0.0240461,-1.8860918829704865,-11.799785863128932,18.505130178949926,-17.226454939593605
tcp-loopback-rtt-1B,14,7,0.0238238,0.0321196,34.821481039968425,29.954546211351783,37.65012482288643,-2.0388547461625883
