workload,offN,onN,offMedianSeconds,onMedianSeconds,elapsedOverheadPercent,bootstrap95LowPercent,bootstrap95HighPercent,offPostVsPrePercent
cpuid-leaf0,14,7,0.03295865,0.3495675,960.6244491203372,923.413732396995,1047.7447734657594,-1.6841064712122877
disk-direct-read-64MiB,14,7,0.03241985,0.0334391,3.1439072049993966,-2.6995738774460154,15.327499921311883,4.7939090955466
disk-direct-write-64MiB,14,7,0.043760549999999995,0.0465539,6.383260722271555,-29.9307563463756,53.820699868680634,9.26143453281474
integer-xorshift,14,7,0.1219874,0.1246817,2.2086707315673637,-0.03547778148813574,15.33872751050902,-0.38369241749139915
memcpy-32MiB,14,7,0.14682925,0.1555477,5.937815523814227,-17.135968480167783,30.790826967020823,0.038487476243354024
pointer-chase-64MiB,14,7,0.73349805,0.7439059,1.4189335609003928,-2.4542289867174105,9.694711582777549,-0.9196272038244357
tcp-loopback-64MiB,14,7,0.0242368,0.0316919,30.75942368629523,18.47761668106336,99.32028669685724,-11.376621565612165
tcp-loopback-rtt-1B,14,7,0.0236711,0.0315795,33.409516245548375,26.927321360955258,64.70085233738689,-2.289933599820493
