workload,offN,onN,offMedianSeconds,onMedianSeconds,elapsedOverheadPercent,bootstrap95LowPercent,bootstrap95HighPercent,offPostVsPrePercent
cpuid-leaf0,14,7,0.0332679,0.3464577,941.4174023608341,932.5354216163527,972.259634668219,-0.4673724250269129
disk-direct-read-64MiB,14,7,0.03212925,0.0334748,4.187928445264055,-3.810107261776541,26.7530489004443,1.1322280630812642
disk-direct-write-64MiB,14,7,0.04183305,0.0516865,23.554223275615826,-34.302546616836175,17737.955456635813,-6.279388469833713
integer-xorshift,14,7,0.1234373,0.1257532,1.8761751917775404,0.28558923207240294,2.9763864217851266,-0.6839384107514168
memcpy-32MiB,14,7,0.15761925,0.1729513,9.727269987644283,-10.687485316401713,20.009091253456557,-9.259504743380697
pointer-chase-64MiB,14,7,0.7570494999999999,0.768269,1.4820034885433486,-2.9889567001253003,8.406115038185291,1.8065705202537252
tcp-loopback-64MiB,14,7,0.02794505,0.0285806,2.2742847123193632,-2.9586065091420144,10.395146506823405,-0.3286946890798448
tcp-loopback-rtt-1B,14,7,0.024350200000000002,0.0353946,45.35650631206312,31.31928700680131,57.19804974387461,2.9880239273415654
